,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
0,2190 E 11th Ave,0,3,1.0,2.0,516,1331,39.73323,-104.96156,0.5903353572424738,1638,3341,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
1,2185 E 11th Ave # 5-512,0,0,1.0,1.0,N/A,N/A,39.733579,-104.961253,0.6229472283859664,1638,1638,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
2,2185 E 11th Ave # 4-407,1,1,1.0,1.0,N/A,N/A,39.733579,-104.961253,0.6229472283859664,1807,1807,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
3,1137 N Columbine St Unit 205,1,1,1.0,1.0,N/A,N/A,39.734497,-104.957776,0.7390115098688391,1085,1085,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
4,2315 E 12th Ave,1,2,1.0,1.0,599,828,39.735298,-104.959447,0.8053695050170194,1300,1600,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
5,1510 E 9th Ave Apt 107,2,2,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1680,1680,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
6,1510 E 9th Ave Apt 101,1,1,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1265,1265,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
7,1510 E 9th Ave Apt 205,1,1,1.0,1.0,N/A,N/A,39.730265,-104.969109,0.8202329090202164,1270,1270,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
8,1201 N Columbine St Unit 107,1,1,1.0,1.0,N/A,N/A,39.735418,-104.95777,0.8386516260804033,1055,1055,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
9,1201 N Columbine St Unit 102,1,1,1.0,1.0,N/A,N/A,39.735418,-104.95777,0.8386516260804033,1124,1124,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
10,1201 N Columbine St Unit 203,1,1,1.0,1.0,N/A,N/A,39.735418,-104.95777,0.8386516260804033,1060,1060,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
11,1201 N Columbine St Unit 105,1,1,1.0,1.0,N/A,N/A,39.735418,-104.95777,0.8386516260804033,1078,1078,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
12,1153 Detroit St,4,4,4.0,4.0,2625,2625,39.734633,-104.954346,0.8737952213474028,3550,3550,Capital Avenue,,,,,
13,925-995 Humboldt St,1,2,1.0,1.0,488,755,39.73066,-104.96987,0.8957468665337652,1311,1706,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
14,1255 N Race St Unit 9,1,1,1.0,1.0,N/A,N/A,39.736036,-104.963852,0.9468668893921721,1186,1186,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
15,1255 N Race St Unit 8,2,2,2.0,2.0,N/A,N/A,39.736036,-104.963852,0.9468668893921721,1495,1495,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
16,1255 N Race St Unit 10,1,1,1.0,1.0,N/A,N/A,39.736036,-104.963852,0.9468668893921721,1145,1145,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
17,1330 Gaylord St,1,2,1.0,2.0,641,1047,39.737243,-104.960672,1.0223698918934923,1465,1855,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
18,1901 E 13th Ave,0,2,1.0,1.0,260,590,39.73695,-104.96435,1.0570262352763855,1100,1600,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
19,1350 Josephine St Apt 107,2,2,1.0,1.0,860,860,39.737757,-104.958269,1.0873241515709127,1590,1590,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
20,1350 Josephine St Apt 201,1,1,1.0,1.0,720,720,39.737757,-104.958269,1.0873241515709127,1325,1325,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
21,1085 N Lafayette St Apt 303,2,2,2.0,2.0,1050,1050,39.733413,-104.970974,1.1143467942257435,2250,2250,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
22,1344 N High St Apt 3,1,1,1.0,1.0,N/A,N/A,39.73765,-104.9644,1.131566618357453,1145,1145,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
23,1344 N High St Apt 12,1,1,1.0,1.0,N/A,N/A,39.737655,-104.964402,1.1321479139343522,1195,1195,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
24,940-944 N Downing St # 940B,1,1,1.0,1.0,650,650,39.731203,-104.972646,1.1401779436365265,900,900,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
25,2480 E 14th Ave # 2468-1,2,2,1.0,1.0,1200,1200,39.738235,-104.957646,1.1480066342056026,1950,1950,Congress Park,Congress Park,80.0,51.0,88.0,10239.0
26,1360 N Williams St,1,1,1.0,1.0,506,506,39.737833,-104.965646,1.1902256654967638,1271,1341,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
27,1044 N Downing St,1,2,1.0,2.0,715,995,39.7327,-104.97264,1.2011322544605336,1815,2785,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
28,1044 N Downing St # B2,2,2,2.0,2.0,N/A,N/A,39.732701,-104.972653,1.2021845698492057,2340,2340,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
29,1402 Race St,0,1,1.0,1.0,425,487,39.738642,-104.963127,1.2070163129970914,1246,1346,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
30,1405 Race St,1,1,1.0,1.0,640,640,39.73856,-104.96384,1.2133929109764867,1200,1200,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
31,821 N Corona St,0,2,1.0,2.0,450,915,39.72964,-104.97442,1.2496078767596859,1295,1995,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
32,1100 N Downing St Apt 3,1,1,1.0,1.0,N/A,N/A,39.733832,-104.972727,1.266689509587045,1385,1385,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
